date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:33	1471628/1471628	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f32219c96c0f1f3be796ac298b38a329%22	https://static.parastorage.com/services/editor-elements/1.2960.0/componentSSRSdks.bundle.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/editor-elements/1.2960.0/componentSSRSdks.bundle.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:34	56938/56938	---M-Z	200	added ('OK')	application/javascript	etag:W/%221aaa9be877076f0f7dfbf575ce4cebfd%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.054f2e01.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/editor-elements/dist/componentSdks.054f2e01.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:34	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:34%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/robots.txt	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/robots.txt	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:35	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:34%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/wix-thunderbolt/dist/	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/wix-thunderbolt/dist/index.html	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:35	277/277	---M--	200	added ('OK')	text/xml	etag:7115b08792f380ab1e26b471ab1a1e78	https://yangyuqing9527.wixsite.com/jobbrokeronline/sitemap.xml	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/sitemap.xml	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:35	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:34%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/feed.xml	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/feed.xml	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:35	469/469	---M--	200	added ('OK')	application/javascript	etag:%22c5e0c5d15dbf341f3d372b534af03c45%22	https://static.parastorage.com/services/editor-elements/dist/siteAssets.1a273c50.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/editor-elements/dist/siteAssets.1a273c50.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:36	1659/1659	---M-Z	200	added ('OK')	application/javascript	etag:W/%227eb26dbfc53c9606f7d4adec5468137f%22	https://static.parastorage.com/services/editor-elements/dist/webpack-runtime.94f770e3.bundle.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/editor-elements/dist/webpack-runtime.94f770e3.bundle.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:36	109245/109245	---M-Z	200	added ('OK')	application/javascript	etag:W/%224d82efcaf4ca1176d81b2d434d49a4d9%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.6df73955.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.6df73955.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:37	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2009:55:36%20GMT	https://yangyuqing9527.wixsite.com/jobbrokeronline/$&/	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/jobbrokeronline/$&/index.html	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:37	219829/219829	---M-Z	200	added ('OK')	application/javascript	etag:W/%224333c7812e5a09d5bb1006e8bedf56d7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.c6b5464c.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/main.c6b5464c.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:37	73261/73261	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bc0594c54450e8ac689739b6b198067a%22	https://static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/unpkg/lodash@4.17.15/lodash.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:37	24372/24372	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d9a8ebe5523e022e24f8c4e7c1d69c2a%22	https://static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.c2f86878.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/wix-code-sdk-providers.c2f86878.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:38	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2030%20Oct%202020%2009:55:37%20GMT	https://yangyuqing9527.wixsite.com/_partials/	C:/My%20Web%20Sites/jb/yangyuqing9527.wixsite.com/_partials/index.html	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:38	7354/7354	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260213c219b4aad8b4ec40ab7e941c439%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooi.16105056.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/ooi.16105056.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:38	29896/29896	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c1882a85ee343f253dfc968b293cc98%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.cee90d6a.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.cee90d6a.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:39	3092/3092	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f558bd4fc99f874b5ef65efbb3f9423b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.0fd920dd.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.0fd920dd.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
22:55:39	6897/6897	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d1c607dd9de2aa94d99e09ffc1a5050%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.eaa77134.chunk.min.js	C:/My%20Web%20Sites/jb/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.eaa77134.chunk.min.js	(from https://yangyuqing9527.wixsite.com/jobbrokeronline)
